component	source_inside_executable	bytes	sha256	file_version	authenticode_status	signer_subject	signer_thumbprint
CPython 3.8.10 embeddable distribution	_asyncio.pyd	64688	6e25aa5931f175b971dfd05aab7a24cef29edd8f4b524341c414d0577c07a200	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_bz2.pyd	87216	ce4ef8ed1e72c1d3a6082d500a17a009eb6e8ed15022bf3b68a22291858feced	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_ctypes.pyd	127152	820e840759eed12e19f3c485fd819b065b49d9dc704ae3599a63077416d63324	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_decimal.pyd	268976	30eea56a4d1dd78f9d65fcb6168ab189cfa8098c38aad47ee770756a056749ca	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_elementtree.pyd	179888	00d68d3879ab410601e7e8fb2348d4995cec2ee78b3a07ea59520d35f9953bb4	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_hashlib.pyd	47280	a30cf1a40e0b09610e34be187f1396ac5a44dcfb27bc7ff9b450d1318b694c1b	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_lzma.pyd	163504	9209ccc60115727b192bf7771551040ca6fdd50f9bf8c3d2eacbfd424e8245e4	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_multiprocessing.pyd	30384	54c28dcf2f2a72fc854f49c76fb021bbf2b53675fe5b5ed021c61efe9467197b	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_overlapped.pyd	46768	5f92c163b9fe6abb0f8b106a972f6a86f84271b2e32c67f95737387c85719837	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	_queue.pyd	29360	67e4e888559ea2c62ff267b58d7a7e95c2ec361703b5aa232aa8b2a1f96a2051	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
