package	version	checksum_sha256	archive_bytes	declared_license	repository
anstream	0.6.21	43d5b281e737544384e969a5ccad3f1cdd24b48086a0fc1b2a5262a26b8f4f4a	29516	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle	1.0.13	5192cca8006f1fd4f7237516f40fa183bb07f8fbdfedaa0036de5ea9b0b45e78	17651	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-parse	0.2.7	4e7644824f0aa2c7b9384579234ef10eb7efb6a0deb83f9630a49594dd9c15c2	21707	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-query	1.1.4	9e231f6134f61b71076a3eab506c379d4f36122f2af15a9ff04415ea4c3339e2	10192	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anstyle-wincon	3.0.10	3e0633414522a32ffaac8ac6cc8f748e090c5717661fddeea04219e2344f5f2a	12558	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anyhow	1.0.100	a23eb6b1614318a8071c9b2521f36b424b2c83db5eb3a0fead4a6c0809af6e61	54059	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow
async-channel	2.5.0	924ed96dd52d1b75e9c1a3e6275715fd320f5f9439fb5a4a11fa51f4221158d2	18624	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel
bytes	1.11.1	1e748733b7cbc798e1434b6ac524f0c1ff2ab456fe201501e6497c8417a4fc33	78584	MIT	https://github.com/tokio-rs/bytes
cfg-if	1.0.3	2fd1289c04a9ea8cb22300a459a72a385d7c73d3259e2ed7dcb2af674838cfa9	8719	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if
clap	4.5.48	e2134bb3ea021b78629caa971416385309e0131b351b25e01dc16fb54e1b5fae	61935	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_builder	4.5.48	c2ba64afa3c0a6df7fa517765e31314e983f51dda798ffba27b988194fb65dc9	170133	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_derive	4.5.47	bbfd7eae0b0f1a6e63d4b13c9c478de77c2eb546fba158ad50b4203dc24b9f9c	33550	MIT OR Apache-2.0	https://github.com/clap-rs/clap
clap_lex	0.7.5	b94f61472cee1439c0b966b47e3aca9ae07e45d070759512cd390ea2bebc6675	13469	MIT OR Apache-2.0	https://github.com/clap-rs/clap
colorchoice	1.0.4	b05b61dc5112cbb17e4b6cd61790d9845d13888356391624cbe7e41efeac1e75	8196	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
colored	3.0.0	fde0e0ec90c9dfb3b4b1a0891a7dcd0e2bffde2f7efed5fe7c9bb00e5bfb915e	34497	MPL-2.0	https://github.com/mackwic/colored
concurrent-queue	2.5.0	4ca0197aee26d1ae37445ee532fefce43251d24cc7c166799f4d46817f1d3973	22654	Apache-2.0 OR MIT	https://github.com/smol-rs/concurrent-queue
crossbeam-utils	0.8.21	d0a5c400df2834b80a4c3327b3aad3a4c4cd4de0629063962b03235697506a28	42691	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
event-listener	5.4.1	e13b66accf52311f30a0db42147dadea9850cb48cd070028831ae5f5d4b856ab	43782	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener
event-listener-strategy	0.5.4	8be9f3dfaaffdae2972880079a491a1a8bb7cbed0b8dd7a347f668b4150a3b93	16179	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener-strategy
futures-core	0.3.31	05f29059c0c2090612e8d742178b0580d2dc940c837851ad723096f87af6663e	14318	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
heck	0.5.0	2304e00983f87ffb38b55b444b5e3b60a884b5d30c0fca7d82fe33449bbe55ea	11517	MIT OR Apache-2.0	https://github.com/withoutboats/heck
is_terminal_polyfill	1.70.1	7943c866cc5cd64cbc25b2e01621d07fa8eb2a1a23160ee81ce38704e97b8ecf	7492	MIT OR Apache-2.0	https://github.com/polyfill-rs/is_terminal_polyfill
itoa	1.0.15	4a5f13b858c8d314ee3e8f639011f7ccefe71f97f96e50151fb991f267928e2c	11231	MIT OR Apache-2.0	https://github.com/dtolnay/itoa
lock_api	0.4.14	224399e74b87b5f3557511d98dff8b14089b3dadafcab6bb93eab67d3aace965	29249	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
magika	1.1.0	source-commit:5e2f437fb7b7452368c8c1fa9354858f5487a5c4		Apache-2.0	https://github.com/google/magika
magika-cli	1.1.0	source-commit:5e2f437fb7b7452368c8c1fa9354858f5487a5c4		Apache-2.0	https://github.com/google/magika
matrixmultiply	0.3.10	a06de3016e9fae57a36fd14dba131fccf49f74b40b7fbdb472f96e361ec71a08	58170	MIT/Apache-2.0	https://github.com/bluss/matrixmultiply/
memchr	2.7.6	f52b00d39961fc5b2736ea853c9cc86238e165017a493d1d5c8eac6bdc4cc273	97616	Unlicense OR MIT	https://github.com/BurntSushi/memchr
mio	1.0.4	78bed444cc8a2160f01cbcf811ef18cac863ad68ae8ca62092e8db51d51c761c	104212	MIT	https://github.com/tokio-rs/mio
ndarray	0.17.1	0c7c9125e8f6f10c9da3aad044cc918cf8784fa34de857b1aa68038eb05a50a9	316954	MIT OR Apache-2.0	https://github.com/rust-ndarray/ndarray
num_cpus	1.17.0	91df4bbde75afed763b708b7eee1e8e7651e02d97f6d5dd763e89367e957b23b	15874	MIT OR Apache-2.0	https://github.com/seanmonstar/num_cpus
